28658,245,3
P-365,U5,0,0,0,88,95,110
P-165,U5,0,0,110,93,96,213
P-346,U5,0,95,0,95,178,110
P-394,U5,0,96,110,90,177,219
P-300,U5,95,0,0,164,97,101
P-105,U5,93,0,101,173,95,204
P-274,U5,95,97,0,170,185,110
P-356,U5,0,178,0,95,255,99
P-297,U5,0,177,110,101,245,213
P-134,U5,90,96,110,178,176,207
P-211,U5,93,0,204,189,95,285
P-283,U5,0,96,219,100,193,285
P-333,U5,101,96,207,186,196,279
P-145,U5,95,185,0,170,264,106
P-133,U5,173,0,0,236,91,109
P-277,U5,0,245,106,105,299,214
P-215,U5,105,185,106,192,265,195
P-41,U5,0,196,214,104,286,282
P-139,U5,105,196,195,201,271,279
P-255,U5,170,97,0,234,193,98
P-299,U6,0,0,0,80,83,87
P-142,U6,0,0,87,74,83,179
P-73,U6,0,0,179,63,86,283
P-129,U6,0,83,0,59,168,110
P-36,U6,0,86,110,80,164,196
P-282,U6,80,0,0,134,92,107
P-45,U5,0,0,213,81,91,285
P-319,U6,80,0,107,128,102,208
P-10,U6,0,86,196,70,171,284
P-20,U6,80,92,0,136,180,106
P-168,U6,80,102,106,148,189,194
P-252,U6,128,0,107,176,95,217
P-6,U6,0,180,0,84,236,91
P-50,U6,0,180,91,73,244,195
P-273,U6,70,102,196,141,181,281
P-285,U6,136,0,0,190,108,81
P-9,U6,0,181,195,73,252,283
P-82,U6,70,0,217,141,97,283
P-2,U6,73,189,91,154,245,190
P-109,U6,148,95,81,192,174,179
P-264,U6,141,0,217,201,108,285
P-219,U6,73,189,190,149,250,284
P-46,U6,136,108,0,198,202,71
P-183,U6,0,244,0,72,301,105
P-125,U6,84,202,0,169,270,91
P-157,U6,176,0,81,230,88,169
P-224,U6,0,252,105,68,308,204
P-187,U6,141,108,194,195,186,278
P-94,U5,178,0,109,244,98,176
P-124,U5,0,255,0,72,309,104
P-284,U6,154,202,91,206,272,201
P-163,U5,178,98,98,227,181,181
P-212,U6,68,252,105,142,300,210
P-136,U5,192,0,176,239,66,278
P-329,U5,170,196,0,228,261,94
P-217,U6,154,186,201,226,260,279
P-366,U6,0,252,210,105,308,281
P-350,U6,169,202,0,229,271,85
P-103,U6,190,0,0,234,102,78
P-68,U5,192,66,181,238,147,273
P-106,U5,72,264,0,162,318,92
P-238,U6,192,88,78,242,157,180
P-180,U3,0,0,0,59,71,80
P-112,U3,0,0,80,63,67,159
P-148,U3,0,71,0,67,120,100
P-126,U3,0,0,159,60,64,244
P-181,U3,0,67,100,58,124,198
P-360,U3,67,0,0,120,76,80
P-226,U3,67,0,80,127,72,154
P-295,U3,0,124,0,69,173,109
P-352,U3,63,0,154,106,66,243
P-15,U3,69,76,0,118,136,84
P-207,U3,0,124,109,70,169,204
P-17,U3,70,72,84,127,135,167
P-280,U3,0,173,0,61,226,90
P-214,U3,69,136,0,127,197,81
P-236,U3,0,169,109,56,225,200
P-266,U3,106,0,154,159,61,242
P-23,U3,70,135,84,121,185,194
P-353,U3,70,66,167,131,132,237
P-16,U3,127,0,0,175,63,93
P-199,U3,127,63,0,185,130,73
P-42,U3,131,63,73,172,125,182
P-49,U3,61,185,81,130,225,181
P-232,U3,131,130,0,178,197,84
P-222,U3,0,226,0,73,267,88
P-275,U3,131,125,84,176,199,161
P-265,U3,127,0,93,174,60,151
P-162,U3,0,225,90,65,271,194
P-304,U3,65,225,88,133,276,177
P-216,U3,131,125,161,175,189,244
P-188,U3,159,0,151,210,51,237
P-3,U3,175,0,0,217,51,101
P-69,U3,70,132,194,124,216,241
P-320,U3,131,61,182,184,125,239
P-270,U3,73,197,0,125,244,70
P-86,U3,0,169,200,65,232,241
P-117,U3,130,197,0,182,246,65
P-310,U3,172,63,73,215,122,138
P-147,U3,0,67,198,65,122,244
P-71,U3,133,199,65,176,259,164
P-345,U3,133,189,164,176,236,242
P-150,U3,70,216,181,124,258,239
P-1,U4,0,0,0,53,55,99
P-272,U4,0,0,99,40,64,174
P-393,U1,0,0,0,44,47,65
P-324,U4,0,55,0,40,96,68
P-387,U2,0,0,0,42,47,96
P-326,U4,53,0,0,98,51,84
P-92,U4,0,64,68,58,122,133
P-80,U1,0,47,0,43,91,85
P-385,U4,40,0,99,80,48,163
P-378,U2,0,47,0,53,106,89
P-37,U4,0,64,133,51,123,209
P-357,U4,0,0,174,40,56,232
P-258,U1,44,0,0,99,71,82
P-220,U2,53,0,0,97,71,104
P-57,U1,0,91,0,59,155,83
P-185,U4,80,0,84,122,67,184
P-26,U1,0,0,85,56,69,158
P-291,U4,58,64,0,98,138,81
P-167,U4,0,122,0,50,169,100
P-75,U4,58,67,81,101,141,166
P-135,U2,0,106,0,66,151,108
P-169,U1,59,71,0,107,158,94
P-363,U1,56,0,82,128,67,161
P-327,U4,0,123,100,58,167,196
P-380,U2,0,0,96,41,56,158
P-25,U1,0,69,85,44,122,162
P-313,U2,66,71,0,120,125,91
P-97,U4,0,169,0,53,222,93
P-29,U2,0,151,0,62,204,86
P-27,U4,101,67,0,150,129,93
P-335,U4,0,167,100,91,224,195
P-336,U4,58,67,166,107,135,238
