Package-ID,ULD-ID,x0,y0,z0,x1,y1,z1
150,4,101,120,0,159,174,42
345,4,0,199,88,78,246,131
265,4,186,271,0,244,318,60
310,4,0,181,133,59,246,176
86,4,94,0,0,157,41,65
270,4,0,124,43,70,176,90
320,4,0,67,43,64,124,96
69,4,78,149,127,132,233,174
3,4,0,69,0,101,120,42
188,4,73,0,122,159,51,173
15,4,86,184,43,146,233,127
352,4,0,120,0,89,186,43
71,4,96,174,0,156,273,43
275,4,102,273,0,179,318,74
222,4,0,80,96,73,168,137
232,4,160,0,0,244,67,47
16,4,0,225,196,63,318,244
199,4,0,0,58,58,67,131
236,4,188,262,153,244,318,244
304,4,0,134,176,51,223,244
162,4,179,74,0,244,120,104
181,4,58,0,65,156,58,122
126,4,101,233,92,165,318,152
148,4,86,135,53,186,184,120
112,4,165,0,47,244,63,114
180,4,51,150,185,131,221,244
109,4,165,220,74,244,318,118
329,4,0,0,0,94,65,58
295,4,175,0,135,244,49,244
212,4,148,137,139,196,211,244
284,4,108,63,134,160,133,244
366,4,188,129,0,244,200,105
157,4,0,264,0,88,318,88
82,4,63,221,178,134,318,244
9,4,156,200,0,244,271,73
273,4,0,0,159,71,79,244
319,4,196,133,143,244,235,244
125,4,73,67,43,164,135,128
45,4,0,246,97,91,318,178
282,4,134,211,152,188,318,244
36,4,0,186,0,86,264,80
277,4,0,80,139,108,134,244
145,4,169,54,138,244,133,244
393,5,49,90,100,96,134,165
272,5,204,254,210,244,318,285
385,5,72,0,97,120,64,137
326,5,193,100,89,244,184,134
357,5,116,102,138,174,142,194
380,5,0,277,229,62,318,285
248,5,0,0,44,67,77,96
291,5,170,184,65,244,265,105
75,5,170,233,0,244,318,43
92,5,186,107,0,244,165,65
336,5,172,165,0,244,233,49
378,5,155,259,122,244,318,175
26,5,90,245,0,146,318,69
327,5,74,103,0,170,161,44
313,5,0,176,106,54,230,197
185,5,177,0,0,244,100,42
97,5,151,265,45,244,318,98
1,5,0,83,45,99,136,100
221,5,68,250,135,112,318,184
40,5,0,83,0,70,173,45
44,5,54,146,87,94,230,136
19,5,70,163,0,121,232,87
147,5,0,0,161,65,55,207
117,5,0,77,110,49,129,175
216,5,0,0,0,64,83,44
49,5,121,171,0,161,240,100
42,5,0,230,0,62,271,109
353,5,81,257,69,151,318,135
266,5,67,0,0,120,61,88
280,5,0,0,224,53,90,285
17,5,0,173,0,63,230,83
136,5,178,203,109,244,250,211
226,5,0,0,96,72,74,156
360,5,99,83,44,175,163,97
163,5,120,0,5,169,83,88
68,5,0,271,0,81,317,92
238,5,175,0,148,244,102,198
187,5,53,0,207,107,84,285
217,5,102,152,130,174,230,204
6,5,107,0,201,163,91,285
264,5,176,146,225,244,254,285
106,5,72,0,140,164,90,194
168,5,0,230,110,68,318,197
10,5,174,118,134,244,203,222
129,5,0,94,175,85,153,285
73,5,90,119,222,176,223,285
299,5,164,0,198,244,83,285
300,5,175,3,47,244,100,148
134,5,0,153,197,80,250,285
297,5,73,250,184,176,318,285
23,6,98,173,0,149,223,110
214,6,183,83,0,244,141,81
207,6,0,223,75,70,318,120
103,6,100,95,0,144,173,102
350,6,105,0,200,165,69,285
224,6,188,98,110,244,197,178
124,6,190,0,181,244,72,285
46,6,0,66,0,62,137,94
183,6,0,0,213,105,57,285
94,6,178,0,96,244,98,163
219,6,0,165,191,61,241,285
2,6,109,219,110,165,318,191
285,6,136,264,204,244,318,285
50,6,96,109,110,169,213,174
252,6,100,0,0,148,95,110
20,6,188,109,179,244,197,285
142,6,170,0,0,244,83,92
255,6,0,144,0,98,208,96
139,6,169,222,110,244,318,194
333,6,96,69,200,168,169,285
215,6,99,177,205,188,264,285
133,6,0,227,127,109,318,190
41,6,176,228,0,244,318,104
283,6,0,0,0,100,66,97
356,6,0,241,190,99,318,285
274,6,0,208,0,88,318,75
211,6,149,142,0,244,223,96
105,6,0,57,205,95,160,285
394,6,96,0,110,177,109,200
