Package-ID,ULD-ID,x0,y0,z0,x1,y1,z1
150,4,101,120,0,159,174,42
345,4,0,199,80,78,246,123
265,4,186,271,0,244,318,60
310,4,0,181,123,59,246,166
86,4,94,0,0,157,41,65
270,4,0,124,43,70,176,90
320,4,0,67,43,64,124,96
69,4,78,149,127,132,233,174
3,4,0,69,0,101,120,42
188,4,73,0,122,159,51,173
15,4,86,184,43,146,233,127
352,4,0,120,0,89,186,43
71,4,96,174,0,156,273,43
275,4,102,273,0,179,318,74
222,4,0,80,96,73,168,137
232,4,160,0,0,244,67,47
16,4,0,225,169,63,318,217
199,4,0,0,58,58,67,131
236,4,188,262,118,244,318,209
304,4,0,134,166,51,223,234
162,4,179,74,0,244,120,104
181,4,58,0,65,156,58,122
126,4,101,233,74,165,318,134
148,4,86,135,43,186,184,110
112,4,165,0,47,244,63,114
180,4,51,150,174,131,221,233
109,4,165,220,74,244,318,118
329,4,0,0,0,94,65,58
295,4,175,0,114,244,49,223
212,4,148,137,110,196,211,215
284,4,108,63,128,160,133,238
366,4,188,129,0,244,200,105
157,4,0,264,0,88,318,88
82,4,63,221,174,134,318,240
9,4,156,200,0,244,271,73
273,4,0,0,131,71,79,216
319,4,196,133,118,244,235,219
125,4,73,67,43,164,135,128
45,4,0,246,88,91,318,169
282,4,134,211,134,188,318,226
36,4,0,186,0,86,264,80
277,4,0,80,137,108,134,242
145,4,169,54,114,244,133,220
393,5,49,90,100,96,134,165
272,5,204,254,149,244,318,224
385,5,72,0,88,120,64,128
326,5,193,100,65,244,184,110
357,5,116,102,97,174,142,153
380,5,0,277,196,62,318,252
248,5,0,0,44,67,77,96
291,5,170,184,49,244,265,89
75,5,170,233,0,244,318,43
92,5,186,107,0,244,165,65
336,5,172,165,0,244,233,49
378,5,155,259,96,244,318,149
26,5,90,245,0,146,318,69
327,5,74,103,0,170,161,44
313,5,0,176,83,54,230,174
185,5,177,0,0,244,100,42
97,5,151,265,43,244,318,96
1,5,0,83,45,99,136,100
221,5,68,250,135,112,318,184
40,5,0,83,0,70,173,45
44,5,54,146,87,94,230,136
19,5,70,163,0,121,232,87
147,5,0,0,156,65,55,202
117,5,0,77,100,49,129,165
216,5,0,0,0,64,83,44
49,5,121,171,0,161,240,100
42,5,0,230,0,62,271,109
353,5,81,257,69,151,318,135
266,5,67,0,0,120,61,88
280,5,0,0,202,53,90,263
17,5,0,173,0,63,230,83
136,5,178,203,89,244,250,191
226,5,0,0,96,72,74,156
360,5,99,83,44,175,163,97
163,5,120,0,0,169,83,83
68,5,0,271,0,81,317,92
238,5,175,0,143,244,102,193
187,5,53,0,202,107,84,280
217,5,102,152,100,174,230,174
6,5,107,0,182,163,91,266
264,5,176,146,198,244,254,258
106,5,72,0,128,164,90,182
168,5,0,230,109,68,318,196
10,5,174,118,110,244,203,198
129,5,0,94,165,85,153,275
73,5,90,119,198,176,223,261
299,5,164,0,193,244,83,280
300,5,175,3,42,244,100,143
134,5,0,153,196,80,250,284
297,5,73,250,184,176,318,285
23,6,98,173,0,149,223,110
214,6,183,83,0,244,141,81
207,6,0,223,75,70,318,120
103,6,100,95,0,144,173,102
350,6,105,0,200,165,69,285
224,6,188,98,96,244,197,164
124,6,190,0,159,244,72,263
46,6,0,66,0,62,137,94
183,6,0,0,200,105,57,272
94,6,178,0,92,244,98,159
219,6,0,165,183,61,241,277
2,6,109,219,110,165,318,191
285,6,136,264,194,244,318,275
50,6,96,109,110,169,213,174
252,6,100,0,0,148,95,110
20,6,188,109,164,244,197,270
142,6,170,0,0,244,83,92
255,6,0,144,0,98,208,96
139,6,169,222,110,244,318,194
333,6,96,69,200,168,169,285
215,6,99,177,194,188,264,274
133,6,0,227,120,109,318,183
41,6,176,228,0,244,318,104
283,6,0,0,0,100,66,97
356,6,0,241,183,99,318,278
274,6,0,208,0,88,318,75
211,6,149,142,0,244,223,96
105,6,0,57,200,95,160,280
394,6,96,0,110,177,109,200
346,6,0,93,96,95,203,179
165,6,0,0,97,96,93,200
365,6,88,223,0,176,318,110
324,1,49,185,0,89,226,68
387,1,182,168,0,224,264,47
29,1,138,0,0,224,62,53
27,1,51,126,87,100,219,149
257,1,6,70,73,60,121,140
305,1,89,172,0,147,225,63
206,1,183,271,0,224,318,60
171,1,174,263,60,224,318,153
32,1,180,193,47,224,263,145
278,1,94,0,0,138,80,73
12,1,0,161,0,48,241,88
120,1,128,98,0,176,172,91
123,1,0,47,0,43,87,62
169,1,176,95,47,224,182,141
391,1,63,87,0,128,160,87
220,1,0,247,104,104,318,148
384,1,0,87,0,60,156,73
39,1,71,62,91,167,126,152
146,1,118,218,103,174,318,148
335,1,167,0,53,224,95,144
231,1,0,137,88,49,233,156
392,1,50,0,0,90,87,63
337,1,90,278,0,167,318,102
362,1,101,126,91,176,212,152
398,1,89,226,0,174,278,103
78,1,0,244,0,42,318,104
354,1,10,0,86,62,70,156
66,1,0,0,0,50,47,86
166,1,64,0,73,167,62,157
122,1,43,241,0,89,318,104
258,2,102,247,0,157,318,82
242,2,171,249,0,224,318,89
363,2,59,101,0,126,173,79
244,2,59,243,86,121,318,162
247,2,44,111,93,123,209,155
170,2,0,67,80,100,111,161
225,2,63,173,0,117,241,93
227,2,151,92,102,224,188,161
230,2,43,270,0,89,318,86
85,2,117,173,0,161,220,68
99,2,0,0,0,68,71,70
397,2,0,71,0,51,130,80
164,2,122,0,120,224,87,160
177,2,183,219,99,224,318,143
234,2,181,0,0,224,104,65
209,2,0,140,81,44,212,156
152,2,68,52,0,125,101,67
141,2,0,248,0,43,318,87
400,2,68,0,0,118,52,64
342,2,0,175,0,63,241,78
208,2,126,107,0,215,157,102
14,2,0,130,0,46,175,81
344,2,135,0,65,224,92,120
253,2,175,157,0,224,248,99
176,2,123,188,99,183,290,161
54,2,0,212,87,59,318,138
87,2,128,0,0,181,107,54
343,2,0,0,70,107,67,147
80,3,141,233,0,185,318,43
37,3,0,242,0,51,318,59
25,3,0,118,0,44,171,77
57,3,0,235,69,59,318,133
315,3,144,243,74,197,318,124
172,3,91,176,0,167,227,71
5,3,44,118,0,108,176,88
202,3,51,224,0,91,318,52
189,3,0,0,0,63,56,87
371,3,91,227,0,139,318,52
167,3,197,218,74,244,318,124
218,3,64,0,72,123,77,162
59,3,7,0,153,56,79,238
192,3,168,153,0,244,227,54
307,3,43,79,156,139,122,238
130,3,51,176,0,91,221,78
186,3,137,100,72,184,193,156
381,3,0,178,0,48,242,69
341,3,157,96,0,244,153,72
317,3,63,0,0,116,86,50
369,3,0,92,88,84,167,146
198,3,185,234,0,244,318,74
289,3,0,79,153,43,145,223
375,3,0,159,177,48,256,244
261,3,123,0,72,165,100,149
373,3,0,256,148,72,318,232
28,3,72,223,148,136,318,229
35,3,116,0,0,179,83,72
339,3,168,0,92,244,76,146
269,3,186,75,153,244,131,227
76,3,204,0,0,244,96,92
249,3,0,174,88,67,229,177
11,3,189,96,72,244,176,153
93,3,156,250,124,244,318,216
355,3,112,114,0,157,174,52
256,3,0,0,87,64,92,153
263,3,48,125,181,131,223,237
314,3,84,122,88,137,206,181
79,3,182,0,146,244,75,232
179,3,0,56,0,63,118,73
276,3,63,0,162,109,69,224
62,3,139,0,149,182,92,237
96,3,137,193,124,221,243,189
58,3,142,131,189,244,226,244
102,3,67,212,78,131,318,148
