Package-ID,ULD-ID,x0,y0,z0,x1,y1,z1
150,4,0,120,101,42,174,159
345,4,88,199,0,131,246,78
265,4,0,271,186,60,318,244
310,4,133,181,0,176,246,59
86,4,0,0,94,65,41,157
270,4,43,124,0,90,176,70
320,4,43,67,0,96,124,64
69,4,127,149,78,174,233,132
3,4,0,69,0,42,120,101
188,4,122,0,73,173,51,159
15,4,43,184,86,127,233,146
352,4,0,120,0,43,186,89
71,4,0,174,96,43,273,156
275,4,0,273,102,74,318,179
222,4,96,80,0,137,168,73
232,4,0,0,160,47,67,244
16,4,196,225,0,244,318,63
199,4,58,0,0,131,67,58
236,4,153,262,188,244,318,244
304,4,176,134,0,244,223,51
162,4,0,74,179,104,120,244
181,4,65,0,58,122,58,156
126,4,92,233,101,152,318,165
148,4,53,135,86,120,184,186
112,4,47,0,165,114,63,244
180,4,185,150,51,244,221,131
109,4,74,220,165,118,318,244
329,4,0,0,0,58,65,94
295,4,135,0,175,244,49,244
212,4,139,137,148,244,211,196
284,4,134,63,108,244,133,160
366,4,0,129,188,105,200,244
157,4,0,264,0,88,318,88
82,4,178,221,63,244,318,134
9,4,0,200,156,73,271,244
273,4,159,0,0,244,79,71
319,4,143,133,196,244,235,244
125,4,43,67,73,128,135,164
45,4,97,246,0,178,318,91
282,4,152,211,134,244,318,188
36,4,0,186,0,80,264,86
277,4,139,80,0,244,134,108
145,4,138,54,169,244,133,244
393,5,100,90,49,165,134,96
272,5,210,254,204,285,318,244
385,5,97,0,72,137,64,120
326,5,89,100,193,134,184,244
357,5,138,102,116,194,142,174
380,5,229,277,0,285,318,62
248,5,44,0,0,96,77,67
291,5,65,184,170,105,265,244
75,5,0,233,170,43,318,244
92,5,0,107,186,65,165,244
336,5,0,165,172,49,233,244
378,5,122,259,155,175,318,244
26,5,0,245,90,69,318,146
327,5,0,103,74,44,161,170
313,5,106,176,0,197,230,54
185,5,0,0,177,42,100,244
97,5,45,265,151,98,318,244
1,5,45,83,0,100,136,99
221,5,135,250,68,184,318,112
40,5,0,83,0,45,173,70
44,5,87,146,54,136,230,94
19,5,0,163,70,87,232,121
147,5,161,0,0,207,55,65
117,5,110,77,0,175,129,49
216,5,0,0,0,44,83,64
49,5,0,171,121,100,240,161
42,5,0,230,0,109,271,62
353,5,69,257,81,135,318,151
266,5,0,0,67,88,61,120
280,5,224,0,0,285,90,53
17,5,0,173,0,83,230,63
136,5,109,203,178,211,250,244
226,5,96,0,0,156,74,72
360,5,44,83,99,97,163,175
163,5,5,0,120,88,83,169
68,5,0,271,0,92,317,81
238,5,148,0,175,198,102,244
187,5,207,0,53,285,84,107
217,5,130,152,102,204,230,174
6,5,201,0,107,285,91,163
264,5,225,146,176,285,254,244
106,5,140,0,72,194,90,164
168,5,110,230,0,197,318,68
10,5,134,118,174,222,203,244
129,5,175,94,0,285,153,85
73,5,222,119,90,285,223,176
299,5,198,0,164,285,83,244
300,5,47,3,175,148,100,244
134,5,197,153,0,285,250,80
297,5,184,250,73,285,318,176
23,6,0,173,98,110,223,149
214,6,0,83,183,81,141,244
207,6,75,223,0,120,318,70
103,6,0,95,100,102,173,144
350,6,200,0,105,285,69,165
224,6,110,98,188,178,197,244
124,6,181,0,190,285,72,244
46,6,0,66,0,94,137,62
183,6,213,0,0,285,57,105
94,6,96,0,178,163,98,244
219,6,191,165,0,285,241,61
2,6,110,219,109,191,318,165
285,6,204,264,136,285,318,244
50,6,110,109,96,174,213,169
252,6,0,0,100,110,95,148
20,6,179,109,188,285,197,244
142,6,0,0,170,92,83,244
255,6,0,144,0,96,208,98
139,6,110,222,169,194,318,244
333,6,200,69,96,285,169,168
215,6,205,177,99,285,264,188
133,6,127,227,0,190,318,109
41,6,0,228,176,104,318,244
283,6,0,0,0,97,66,100
356,6,190,241,0,285,318,99
274,6,0,208,0,75,318,88
211,6,0,142,149,96,223,244
105,6,205,57,0,285,160,95
394,6,110,0,96,200,109,177
346,6,104,93,0,187,203,95
165,6,97,0,0,200,93,96
365,6,0,223,88,110,318,176
324,1,11,185,49,79,226,89
387,1,0,168,182,47,264,224
29,1,15,0,138,68,62,224
27,1,100,126,51,162,219,100
257,1,75,70,6,142,121,60
305,1,0,172,89,63,225,147
206,1,0,271,183,60,318,224
171,1,69,263,174,162,318,224
32,1,64,193,180,162,263,224
278,1,0,0,94,73,80,138
12,1,0,161,0,88,241,48
120,1,0,98,128,91,172,176
123,1,0,47,0,62,87,43
169,1,68,95,176,162,182,224
391,1,0,87,63,87,160,128
220,1,118,247,0,162,318,104
384,1,2,87,0,75,156,60
39,1,101,62,71,162,126,167
146,1,117,218,118,162,318,174
335,1,71,0,167,162,95,224
231,1,94,137,0,162,233,49
392,1,0,0,50,63,87,90
337,1,15,278,90,117,318,167
362,1,101,126,101,162,212,176
398,1,0,226,89,103,278,174
78,1,14,244,0,118,318,42
354,1,92,0,10,162,70,62
66,1,0,0,0,86,47,50
166,1,78,0,64,162,62,167
122,1,0,241,43,104,318,89
