29270,241,3
P-150,U4,89,120,0,143,162,58
P-345,U4,64,239,179,107,317,226
P-265,U4,197,170,0,244,230,58
P-147,U4,57,74,61,122,120,116
P-310,U4,47,253,88,106,318,131
P-117,U4,0,0,125,49,65,177
P-86,U4,181,0,0,244,65,41
P-270,U4,0,248,88,47,318,140
P-320,U4,0,67,0,64,120,57
P-69,U4,71,173,93,125,220,177
P-3,U4,143,121,0,244,163,51
P-188,U4,109,267,0,160,318,86
P-216,U4,0,120,49,64,164,132
P-15,U4,0,120,0,84,180,49
P-352,U4,0,0,58,43,89,124
P-71,U4,108,163,0,168,262,43
P-275,U4,114,79,138,188,124,215
P-222,U4,171,230,0,244,318,41
P-232,U4,97,0,0,181,67,47
P-23,U4,84,180,43,194,231,93
P-16,U4,71,225,131,134,318,179
P-353,U4,109,0,172,175,70,233
P-199,U4,43,0,58,116,58,125
P-266,U4,91,67,0,179,120,61
P-236,U4,188,138,137,244,194,228
P-214,U4,79,139,177,140,220,235
P-162,U4,179,67,0,244,113,104
P-136,U4,73,0,125,175,66,172
P-360,U4,64,120,58,140,173,138
P-181,U4,122,0,61,179,98,119
P-126,U4,0,258,140,64,318,225
P-148,U4,144,113,61,244,180,110
P-112,U4,181,0,41,244,67,120
P-180,U4,0,139,183,71,219,242
P-109,U4,146,183,93,244,262,137
P-350,U4,0,0,177,69,85,237
P-329,U4,0,0,0,94,65,58
P-295,U4,175,0,120,244,49,229
P-212,U4,140,130,137,188,204,242
P-157,U4,0,264,0,88,318,88
P-6,U4,160,262,41,244,318,132
P-2,U4,188,49,120,244,130,219
P-82,U4,0,173,86,71,239,183
P-319,U4,196,216,137,244,318,238
P-282,U4,134,226,137,188,318,244
P-36,U4,0,184,0,78,264,86
P-277,U4,0,85,138,108,139,243
P-393,U5,179,106,50,244,150,97
P-324,U5,159,277,182,199,318,250
P-272,U5,136,0,105,200,40,180
P-385,U5,0,53,55,40,101,119
P-80,U5,75,105,212,160,148,256
P-326,U5,199,267,180,244,318,264
P-357,U5,40,0,101,96,58,141
P-387,U5,0,104,163,47,146,259
P-37,U5,168,198,136,244,257,187
P-380,U5,79,251,132,120,313,188
P-25,U5,167,265,136,244,318,180
P-248,U5,167,0,0,244,67,52
P-291,U5,0,124,0,74,205,40
P-75,U5,170,0,188,244,43,273
P-92,U5,144,253,69,202,318,127
P-258,U5,0,53,0,82,124,55
P-378,U5,82,111,0,141,200,53
P-29,U5,82,58,0,144,111,86
P-57,U5,161,150,53,244,214,112
P-27,U5,0,228,0,93,277,62
P-315,U5,169,67,0,244,120,50
P-327,U5,0,222,62,58,318,106
P-257,U5,149,40,134,200,107,188
P-305,U5,93,214,0,146,277,58
P-185,U5,202,218,69,244,318,136
P-206,U5,75,107,165,135,148,212
P-1,U5,145,159,0,244,214,53
P-371,U5,78,58,86,169,110,134
P-32,U5,0,78,119,70,176,163
P-221,U5,0,176,40,68,220,89
P-167,U5,120,218,132,167,318,182
P-44,U5,0,0,61,84,49,101
P-49,U5,96,0,134,136,100,203
P-42,U5,38,277,0,147,318,62
P-280,U5,0,0,0,90,53,61
P-17,U5,187,43,188,244,106,271
P-207,U5,68,0,203,113,95,273
P-304,U5,0,176,106,68,227,195
P-226,U5,0,102,55,72,176,115
P-68,U5,163,221,187,244,267,279
P-103,U5,200,0,102,244,102,180
P-238,U5,175,0,52,244,102,102
P-187,U5,0,0,141,84,78,195
P-284,U5,92,208,62,144,318,132
P-366,U5,96,0,0,167,56,105
P-183,U5,113,0,203,170,105,275
P-219,U5,0,257,177,76,318,271
P-273,U5,0,233,106,79,318,177
P-168,U5,75,148,192,162,216,280
P-125,U5,76,233,188,144,318,279
P-145,U5,0,146,195,75,252,274
P-41,U5,0,0,195,68,104,285
P-300,U5,147,214,0,244,315,69
P-134,U5,147,110,112,244,198,192
P-274,U5,72,114,55,147,202,165
P-394,U5,163,106,192,244,215,282
P-336,U6,176,201,196,244,250,268
P-202,U6,110,160,71,162,254,111
P-123,U6,0,0,92,62,40,135
P-163,U6,161,152,196,244,201,279
P-224,U6,0,83,183,68,139,282
P-124,U6,83,0,0,155,54,104
P-46,U6,0,256,91,71,318,185
P-217,U6,0,176,89,78,250,161
